Date,Subs,,,,
06/11/2012,391418,,,, 
06/12/2012,392641,,,, 
06/13/2012,393715,,,, 
06/14/2012,394937,,,, 
06/15/2012,396081,,,, 
06/16/2012,397324,,,, 
06/17/2012,398512,,,, 
06/18/2012,399671,,,, 
06/19/2012,400873,,,, 
06/20/2012,402096,,,, 
06/21/2012,403327,,,, 
06/22/2012,404555,,,, 
06/23/2012,405811,,,, 
06/24/2012,406983,,,, 
06/25/2012,408031,,,, 
06/26/2012,409202,,,, 
06/27/2012,410387,,,, 
06/28/2012,411856,,,, 
06/29/2012,413255,,,, 
06/30/2012,414683,,,, 
07/01/2012,415960,,,, 
07/02/2012,417228,,,, 
07/03/2012,418535,,,, 
07/04/2012,419823,,,, 
07/05/2012,421058,,,, 
07/06/2012,422323,,,, 
07/07/2012,423612,,,, 
07/08/2012,424972,,,, 
07/09/2012,426073,,,, 
07/10/2012,427226,,,, 
07/11/2012,428347,,,, 
07/12/2012,429627,,,, 
07/13/2012,430964,,,, 
07/14/2012,432524,,,, 
07/15/2012,433911,,,, 
07/16/2012,435117,,,, 
07/17/2012,436249,,,, 
07/18/2012,437420,,,, 
07/19/2012,438656,,,, 
07/20/2012,439909,,,, 
07/21/2012,441104,,,, 
07/22/2012,442384,,,, 
07/23/2012,443403,,,, 
07/24/2012,444446,,,, 
07/25/2012,445631,,,, 
07/26/2012,446879,,,, 
07/27/2012,448040,,,, 
07/28/2012,449306,,,, 
07/29/2012,450641,,,, 
07/30/2012,451826,,,, 
07/31/2012,452904,,,, 
08/01/2012,453980,,,, 
08/02/2012,455144,,,, 
08/03/2012,456474,,,, 
08/04/2012,457773,,,, 
08/05/2012,459035,,,, 
08/06/2012,460127,,,, 
08/07/2012,461248,,,, 
08/08/2012,462478,,,, 
08/09/2012,463681,,,, 
08/10/2012,464916,,,, 
08/11/2012,466099,,,, 
08/12/2012,467291,,,, 
08/13/2012,468400,,,, 
08/14/2012,469479,,,, 
08/15/2012,470738,,,, 
08/16/2012,471766,,,, 
08/17/2012,472748,,,, 
08/18/2012,473916,,,, 
08/19/2012,475212,,,, 
08/20/2012,476463,,,, 
08/21/2012,477516,,,, 
08/22/2012,478606,,,, 
08/23/2012,479694,,,, 
08/24/2012,480749,,,, 
08/25/2012,481977,,,, 
08/26/2012,483258,,,, 
08/27/2012,484359,,,, 
08/28/2012,485468,,,, 
08/29/2012,486525,,,, 
08/30/2012,487592,,,, 
08/31/2012,488602,,,, 
09/01/2012,489922,,,, 
09/02/2012,491111,,,, 
09/03/2012,492166,,,, 
09/04/2012,493209,,,, 
09/05/2012,494222,,,, 
09/06/2012,495422,,,, 
09/07/2012,496707,,,, 
09/08/2012,497980,,,, 
09/09/2012,499452,,,, 
09/10/2012,500634,,,, 
09/11/2012,501744,,,, 
09/12/2012,503150,,,, 
09/13/2012,504372,,,, 
09/14/2012,505736,,,, 
09/15/2012,507062,,,, 
09/16/2012,508317,,,, 
09/17/2012,509422,,,, 
09/18/2012,510359,,,, 
09/19/2012,511237,,,, 
09/20/2012,512334,,,, 
09/21/2012,513232,,,, 
09/22/2012,514162,,,, 
09/23/2012,515063,,,, 
09/24/2012,515905,,,, 
09/25/2012,516798,,,, 
09/26/2012,517937,,,, 
09/27/2012,521509,,,, 
09/28/2012,523705,,,, 
09/29/2012,525955,,,, 
09/30/2012,527818,,,, 
10/01/2012,529741,,,, 
10/02/2012,531734,,,, 
10/03/2012,533272,,,, 
10/04/2012,534903,,,, 
10/05/2012,536544,,,, 
10/06/2012,538438,,,, 
10/07/2012,540176,,,, 
10/08/2012,541813,,,, 
10/09/2012,543456,,,, 
10/10/2012,545044,,,, 
10/11/2012,546657,,,, 
10/12/2012,548247,,,, 
10/13/2012,549990,,,, 
10/14/2012,551667,,,, 
10/15/2012,553274,,,, 
10/16/2012,555016,,,, 
10/17/2012,556504,,,, 
10/18/2012,558145,,,, 
10/19/2012,559718,,,, 
10/20/2012,561667,,,, 
10/21/2012,563350,,,, 
10/22/2012,565549,,,, 
10/23/2012,566222,,,, 
10/24/2012,567886,,,, 
10/25/2012,569641,,,, 
10/26/2012,571440,,,, 
10/27/2012,573221,,,, 
10/28/2012,575063,,,, 
10/29/2012,576607,,,, 
10/30/2012,577821,,,, 
10/31/2012,579328,,,, 
11/01/2012,580830,,,, 
11/02/2012,582355,,,, 
11/03/2012,583574,,,, 
11/04/2012,585232,,,, 
