Date,Subs
05/06/2012,476427
05/07/2012,486105
05/08/2012,496275
05/09/2012,503641
05/10/2012,506863
05/11/2012,516021
05/12/2012,523710
05/13/2012,531531
05/14/2012,537302
05/15/2012,543251
05/16/2012,548972
05/17/2012,554100
05/18/2012,559737
05/19/2012,566381
05/20/2012,573601
05/21/2012,579904
05/22/2012,585855
05/23/2012,591912
05/24/2012,597356
05/25/2012,601627
05/26/2012,608190
05/27/2012,614717
05/28/2012,621355
05/29/2012,627828
05/30/2012,634114
05/31/2012,640671
06/01/2012,647187
06/02/2012,654078
06/03/2012,661745
06/04/2012,668602
06/05/2012,675747
06/06/2012,682782
06/07/2012,690243
06/08/2012,697418
06/09/2012,704791
06/10/2012,713842
06/11/2012,722338
06/12/2012,730559
06/13/2012,738396
06/14/2012,745482
06/15/2012,752223
06/16/2012,759288
06/17/2012,766738
06/18/2012,773743
06/19/2012,780601
06/20/2012,787330
06/21/2012,793762
06/22/2012,800242
06/23/2012,807448
06/24/2012,816002
06/25/2012,825014
06/26/2012,835350
06/27/2012,844126
06/28/2012,852157
06/29/2012,860642
06/30/2012,868400
07/01/2012,877567
07/02/2012,888321
07/03/2012,899661
07/04/2012,910031
07/05/2012,920488
07/06/2012,933424
07/07/2012,946160
07/08/2012,959956
07/09/2012,974900
07/10/2012,988255
07/11/2012,1002877
07/12/2012,1017580
07/13/2012,1032110
07/14/2012,1046379
07/15/2012,1061712
07/16/2012,1077044
07/17/2012,1092190
07/18/2012,1108465
07/19/2012,1124035
07/20/2012,1141827
07/21/2012,1159423
07/22/2012,1176413
07/23/2012,1193044
07/24/2012,1208607
07/25/2012,1224918
07/26/2012,1240156
07/27/2012,1254729
07/28/2012,1268330
07/29/2012,1282023
07/30/2012,1295841
07/31/2012,1309152
08/01/2012,1321715
08/02/2012,1334147
08/03/2012,1346825
08/04/2012,1357881
08/05/2012,1370669
08/06/2012,1384363
08/07/2012,1396750
08/08/2012,1408996
08/09/2012,1421114
08/10/2012,1434115
08/11/2012,1446837
08/12/2012,1459547
08/13/2012,1473265
08/14/2012,1485715
